Words,Sanskrit,Pali,Hindi,Urdu,Nepali,Bhojpuri,Punjabi,Sindhi,Gujarati,Marathi,Konkani,Assamese,Bengali,Oriya,Kashmiri,Sinhalese,Dhivehi,Romani
all,25,22,1,1,1,12,1,1,1,270,270,1,1,1,17,270,174,1
ash,62,60,3,1,140,54,111,3,3,3,606,152,152,567,57,382,382,140
bark,116,114,4,4,328,107,4,4,4,4,4,328,4,4,111,383,523,-1
belly,141,141,678,678,678,134,678,678,678,-1,-1,678,678,678,134,329,329,678
big,156,154,5,5,358,146,5,5,248,248,5,5,5,5,150,385,669,5
bird,159,166,6,6,6,160,7,7,7,-2,7,6,7,6,162,-1,524,6
bite,183,181,8,8,114,171,9,176,249,271,271,296,296,296,176,386,550,550
black,197,195,9,9,9,187,9,9,9,9,9,9,9,9,191,9,9,9
blood,212,210,10,10,-1,202,10,115,10,-3,-2,-33,-1,-1,206,10,10,115
bone,241,240,11,11,11,232,11,11,11,11,11,11,11,11,236,11,11,11
breast,246,246,12,12,12,246,12,12,12,-4,116,297,297,12,250,116,297,592
burn,268,266,13,13,13,256,13,117,13,13,13,298,298,298,261,217,217,298
nail,284,280,-1,-1,14,,14,14,14,14,14,14,14,14,,14,14,-3
cloud,287,295,15,15,15,288,15,179,15,272,-3,15,-2,-2,287,391,391,-4
cold,310,308,458,458,332,301,458,458,458,458,458,458,458,458,301,392,528,218
come,314,320,16,16,16,315,16,180,16,180,180,301,301,301,314,180,180,16
die,380,378,17,17,17,371,17,17,17,17,17,17,17,17,375,17,17,17
dog,413,411,18,18,302,403,18,18,18,18,18,302,302,302,408,394,302,595
drink,421,424,19,19,19,417,19,19,19,19,19,19,19,19,421,19,19,19
dry,426,436,20,20,20,428,20,20,20,20,20,20,20,20,432,456,20,20
ear,470,474,21,21,21,470,21,21,21,21,21,21,21,21,470,21,21,21
earth,476,484,22,22,22,478,22,22,22,118,118,157,157,157,482,396,118,118
eat,488,492,23,23,23,488,23,23,23,23,23,23,23,23,488,23,23,23
egg,503,501,24,24,24,497,24,24,24,24,-4,304,304,304,497,24,398,24
eye,507,512,25,25,25,507,25,25,25,274,274,305,305,25,507,25,529,25
fat,550,548,-2,-2,361,540,-1,-1,-1,-5,361,-1,-3,-3,544,399,-1,220
feather,572,574,26,26,26,571,26,119,250,26,26,26,306,306,572,250,250,-5
fire,623,630,27,27,27,623,27,679,27,27,334,334,-4,673,627,-2,531,27
fish,634,642,28,28,28,635,28,28,28,28,28,28,28,28,639,-3,28,28
fly,688,686,29,29,29,680,29,29,29,29,29,29,29,29,683,401,532,29
foot,706,713,30,30,30,706,30,30,30,30,30,30,30,30,709,30,30,596
full,751,759,31,31,31,751,31,31,32,31,31,32,31,32,755,32,32,31
give,762,769,33,33,33,764,33,33,33,33,33,33,33,33,762,33,33,33
good,787,785,34,34,362,775,34,120,184,120,120,184,184,184,780,402,533,34
green,812,805,35,35,35,801,35,160,253,35,612,-2,-5,-4,806,404,534,-6
hair,836,836,36,36,36,830,36,36,36,185,185,308,308,308,835,185,535,36
hand,841,842,37,37,37,839,37,37,37,37,37,37,37,37,839,37,37,37
head,857,857,38,38,338,854,38,38,186,254,186,338,186,38,858,38,38,38
hear,864,871,39,39,39,865,39,187,255,275,275,39,39,39,864,39,39,39
heart,882,884,-3,-3,365,876,-2,161,-2,-6,143,161,-6,-5,880,161,161,161
horn,935,935,40,40,40,935,40,40,40,40,40,40,40,40,935,40,537,40
I,9,8,41,41,41,2,41,41,41,41,41,41,41,41,6,41,41,41
kill,1036,1035,42,42,42,1028,42,42,42,42,42,42,42,42,1032,42,42,42
knee,1038,1046,43,43,43,1039,122,122,122,122,613,225,225,225,1038,144,538,587
know,1050,1056,44,44,44,1051,44,44,44,44,44,44,44,44,1050,44,44,44
leaf,1084,1084,45,45,45,1085,45,189,189,189,189,45,45,-6,1089,45,45,45
lie,1129,1127,46,46,46,1118,46,46,46,277,47,47,310,310,1123,407,408,278
liver,1157,1155,48,48,48,1147,48,190,48,-7,48,-3,-7,48,1151,410,539,496
long,1162,1170,49,49,49,1161,49,191,49,49,191,191,49,49,1166,191,191,-7
louse,1186,1184,50,50,50,1176,50,50,50,50,50,50,50,50,1181,50,50,50
man,1197,1197,-4,-3,192,1189,-3,192,256,-8,192,192,192,-7,1193,411,123,123
many,1203,1203,51,51,367,1205,51,193,193,280,-5,51,51,51,1208,51,51,51
meat,1215,1220,-5,-5,124,1217,124,124,124,124,124,124,124,124,1215,124,124,124
moon,1223,1226,52,52,340,1224,52,52,52,52,52,340,52,-8,1227,52,52,340
mountain,1250,1248,53,53,53,1240,53,53,53,53,-6,53,53,-9,1244,-4,-2,-8
name,1262,1268,55,55,55,1263,55,55,55,55,55,55,55,55,1262,55,55,55
neck,1311,1309,56,56,56,1300,56,196,258,229,56,56,56,674,1304,312,413,599
new,1313,1321,57,57,57,1314,57,57,57,57,57,57,57,57,1313,57,57,57
night,1324,1324,58,58,58,1324,58,58,58,58,58,58,58,58,1327,58,58,58
nose,1331,1337,59,59,59,1331,59,59,59,59,59,59,59,59,1334,59,59,59
not,1340,1340,60,60,60,1340,60,60,60,60,60,60,60,60,1344,60,60,60
one,1361,1361,61,61,61,1361,61,61,61,61,61,61,61,61,1363,61,61,61
person,1391,1419,163,163,126,1409,163,163,126,126,126,126,126,126,1414,126,126,126
rain,1426,1426,62,62,369,1426,62,62,127,127,127,127,127,-10,1426,127,127,127
red,1442,1440,63,63,128,1434,63,63,63,63,282,128,63,63,1438,128,128,63
road,1473,1478,64,64,415,1469,64,64,64,64,-7,164,-8,64,1474,415,415,-9
root,1494,1492,65,65,65,1484,65,65,259,259,259,343,313,259,1488,259,259,-10
round,1522,1529,66,66,283,1522,66,66,66,66,-8,66,66,66,1526,283,283,66
sand,1573,1571,67,67,67,1563,67,67,67,67,67,68,68,68,1567,67,68,-12
say,1584,1584,69,69,231,1577,69,166,69,69,231,69,69,69,1581,69,231,231
see,1614,1609,71,71,71,1603,71,129,71,198,617,71,71,71,1602,71,129,71
seed,1629,1633,72,72,72,1625,72,72,72,72,72,72,72,72,1630,-5,543,-13
sit,1689,1696,73,73,73,1690,73,73,73,73,73,73,73,73,1689,73,73,73
skin,1706,1705,74,74,74,1702,74,74,74,74,74,348,74,74,1707,74,74,-14
sleep,1733,1731,76,76,76,1724,76,76,76,285,199,76,314,76,1728,199,199,76
small,1747,1745,77,77,261,1737,77,200,261,261,261,349,77,77,1742,420,420,-15
smoke,1767,1774,78,78,78,1767,78,78,78,78,78,78,78,78,1771,78,78,78
stand,1908,1906,79,79,262,1896,79,201,262,79,262,350,315,350,1901,350,350,516
star,1911,1914,80,80,80,1911,80,80,80,80,-9,80,80,80,1911,80,80,-16
stone,1940,1938,81,81,371,1930,81,81,81,286,81,31,81,81,1934,-6,351,167
sun,1977,1972,82,82,236,1972,82,82,82,-9,-10,352,-9,-11,1972,82,82,236
swim,2008,2006,83,83,83,1996,83,83,287,83,287,83,83,83,2001,421,545,-17
tail,2017,2023,84,84,84,2013,84,84,84,288,84,317,317,317,2018,317,317,601
that,2032,2032,85,85,85,2030,85,85,203,203,203,353,85,353,2035,85,289,85
this,2121,2119,86,86,86,2112,86,86,86,86,86,86,86,86,2116,86,86,86
you,2505,2501,87,87,87,2494,87,87,87,87,87,87,87,87,2494,87,87,87
tongue,2168,2171,88,88,88,2168,88,88,88,88,88,88,88,88,2168,88,88,88
tooth,2173,2173,89,89,89,2173,89,89,89,89,89,89,89,89,2173,89,89,89
tree,2191,2189,90,90,131,2180,131,169,266,266,131,318,318,318,2185,318,318,603
two,2217,2210,91,91,91,2211,91,91,91,91,91,91,91,91,2214,91,91,91
walk,2246,2245,92,92,92,2237,92,92,92,92,92,92,92,92,2241,92,92,92
warm,2258,2256,-6,-6,170,2250,133,133,133,133,133,133,-10,12,2249,133,133,170
water,2271,2274,94,94,94,2271,94,94,94,94,-12,94,319,94,2271,94,94,94
we,2289,2287,95,95,95,2278,95,95,95,95,95,95,95,95,2283,95,95,95
what,2307,2315,96,96,96,2307,96,96,96,96,96,96,96,96,2311,96,96,96
white,2356,2354,97,97,375,2346,97,205,267,290,267,134,267,267,2351,428,428,-18
who,2358,2358,99,99,99,2358,99,99,99,99,99,99,99,99,2363,99,99,99
woman,2449,2450,-7,-7,244,2442,135,206,268,268,-8,135,321,268,2446,429,244,471
yellow,2482,2488,100,100,100,2478,100,100,100,100,322,322,322,322,2483,431,546,-19
